"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.095875004E-3,8.688764647E-3,2.155159414E-2,-2.682108898E-3
1.614287500E-2,3.629229032E-4,3.930422943E-3,3.757560626E-4
2.619087500E-2,-3.287738189E-3,-1.226521912E-3,-2.330548130E-3
3.623787500E-2,-1.172441291E-3,-3.350618063E-3,4.177850205E-4
4.628487500E-2,3.684635740E-4,-1.142058522E-3,-1.084503951E-3
5.633187500E-2,1.180845080E-3,-2.474041190E-3,1.938864589E-4
6.637987500E-2,2.673808485E-4,-7.933202432E-4,-1.366459532E-3
7.642687500E-2,-5.703720963E-4,-2.107201610E-3,5.400662776E-4
8.647387500E-2,3.316404764E-4,3.158301115E-5,1.604531659E-3
9.652187500E-2,1.359282993E-3,9.564850479E-4,1.195766730E-3
1.065688750E-1,1.157681691E-3,1.132786274E-3,1.337446971E-3
1.166158750E-1,1.842756756E-4,-8.236283320E-4,1.337921713E-4
1.266628750E-1,-8.213338442E-4,-2.514735563E-3,1.013167901E-3
1.367108750E-1,-5.211036187E-4,7.993723266E-4,-1.610400621E-3
1.467578750E-1,2.167623956E-3,-7.985243574E-4,-1.360746101E-4
1.568048750E-1,-3.564661602E-4,-1.930575119E-3,-4.084594548E-4
1.668528750E-1,1.233441057E-3,-6.875919644E-5,6.674577016E-4
1.768998750E-1,1.344028860E-4,-2.164423931E-4,9.831292555E-4
1.869468750E-1,9.312205948E-4,2.187060425E-3,8.883206174E-4
1.969938750E-1,7.706112228E-5,8.140724385E-4,1.119293971E-3
2.070418750E-1,6.909195799E-4,-3.467993811E-4,1.043393975E-3
2.170888750E-1,-1.622054027E-3,1.234363182E-3,1.315113856E-3
2.271358750E-1,-1.958411420E-3,-9.411730571E-4,-3.235291224E-4
2.371828750E-1,1.652142266E-3,1.223728526E-3,9.310664609E-5
2.472307083E-1,2.899353858E-4,1.193634700E-3,-1.263378654E-4
2.572777083E-1,-1.986976713E-6,1.443764893E-3,3.052735701E-4
2.673247083E-1,-2.935192548E-3,2.039247891E-3,1.703965710E-3
2.773727083E-1,-9.802022250E-4,-8.377726772E-4,-7.308141794E-4
2.874197083E-1,-3.415761748E-4,-5.453575868E-4,-5.694266874E-4
2.974667083E-1,3.306053812E-3,-5.806915578E-4,-1.052647131E-3
3.075137083E-1,1.094564795E-3,-2.054522047E-4,2.663528081E-3
3.175617083E-1,2.528234385E-3,2.363233361E-3,6.255812477E-4
3.276087083E-1,-2.628444228E-3,-1.452543889E-3,1.699142158E-4
3.376557083E-1,1.238743542E-3,-5.032796762E-4,-1.072225859E-3
