"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.861249984E-4,-1.562750244E-1,9.654922485E-2,9.519454193E0
9.860874998E-3,2.095642090E-2,-7.035369873E-3,9.889185333E0
1.990787500E-2,-3.442840576E-2,-1.392105103E-2,9.725276184E0
2.995587500E-2,-5.987548828E-4,-1.167572021E-2,9.794881439E0
4.000287500E-2,-2.844085693E-2,9.879455566E-3,9.770033112E0
5.004987500E-2,-5.373825073E-2,1.811233521E-2,9.780361633E0
6.009687500E-2,-4.445755005E-2,8.382568359E-3,9.776619415E0
7.014487500E-2,-1.272354126E-2,-2.649490356E-2,9.773475952E0
8.019187500E-2,-5.987548828E-3,-2.439926147E-2,9.776619415E0
9.023887500E-2,-2.993774414E-2,1.960922241E-2,9.777068481E0
1.002868750E-1,-5.972579956E-2,3.936813354E-2,9.769434357E0
1.103338750E-1,-4.760101318E-2,7.484436035E-4,9.771080933E0
1.203808750E-1,-3.742218018E-3,-2.679428101E-2,9.778715057E0
1.304278750E-1,4.490661621E-4,-6.286926270E-3,9.772128754E0
1.404758750E-1,-2.245330811E-2,1.811233521E-2,9.773026886E0
1.505228750E-1,-4.296066284E-2,2.664459229E-2,9.782157898E0
1.605698750E-1,-4.266128540E-2,-0.000000000E0,9.777816925E0
1.706178750E-1,-2.275268555E-2,-1.332229614E-2,9.775272217E0
1.806648750E-1,-9.280700684E-3,-1.017883301E-2,9.775870972E0
1.907118750E-1,-2.948867798E-2,1.571731567E-2,9.772278442E0
2.007588750E-1,-4.595443726E-2,3.083587646E-2,9.779014435E0
2.108068750E-1,-3.547622681E-2,1.496887207E-3,9.773925018E0
2.208538750E-1,-2.200424194E-2,-1.137634277E-2,9.776320038E0
2.309008750E-1,-1.227447510E-2,-2.844085693E-3,9.783205719E0
2.409478750E-1,-2.694396973E-2,1.392105103E-2,9.769883423E0
2.509957083E-1,-4.700225830E-2,1.571731567E-2,9.771380310E0
2.610427083E-1,-3.891906738E-2,1.017883301E-2,9.768536224E0
2.710897083E-1,-1.571731567E-2,-2.245330811E-3,9.765841827E0
2.811377083E-1,-1.137634277E-2,-1.032852173E-2,9.769134979E0
2.911847083E-1,-1.945953369E-2,1.691482544E-2,9.772128754E0
3.012317083E-1,-3.772155762E-2,2.395019531E-2,9.786648560E0
3.112787083E-1,-3.457809448E-2,-3.891906738E-3,9.778116302E0
3.213267083E-1,-1.901046753E-2,-4.640350342E-3,9.774224396E0
3.313737083E-1,-1.302291870E-2,-2.993774414E-4,9.782157898E0
3.414207083E-1,-2.544708252E-2,6.436614990E-3,9.776020660E0
3.514687083E-1,-5.029541016E-2,9.879455566E-3,9.772128754E0
3.615157083E-1,-4.685256958E-2,4.340972900E-3,9.772727509E0
3.715627083E-1,-2.275268555E-2,5.688171387E-3,9.778715057E0
3.816097083E-1,-7.783813477E-3,8.981323242E-4,9.776469727E0
3.916577083E-1,-2.290237427E-2,-3.742218018E-3,9.777667236E0
4.017047083E-1,-3.562591553E-2,2.844085693E-3,9.767787781E0
4.117517083E-1,-4.700225830E-2,-1.646575928E-3,9.775272217E0
4.217997083E-1,-2.664459229E-2,5.089416504E-3,9.774074707E0
4.318467083E-1,-5.987548828E-3,9.430389404E-3,9.770182800E0
4.418937083E-1,-1.960922241E-2,4.340972900E-3,9.780661011E0
4.519407083E-1,-4.011657715E-2,-4.640350342E-3,9.774074707E0
4.619887083E-1,-3.622467041E-2,6.286926270E-3,9.776769104E0
4.720357083E-1,-2.814147949E-2,1.451980591E-2,9.782157898E0
4.820827083E-1,-1.182540894E-2,9.280700684E-3,9.780511322E0
4.921307083E-1,-2.185455322E-2,-5.837860107E-3,9.780211945E0
5.021777083E-1,-3.787124634E-2,-1.197509766E-3,9.778565369E0
5.122247083E-1,-4.296066284E-2,1.302291870E-2,9.765692139E0
5.222717083E-1,-2.499801636E-2,1.511856079E-2,9.782756653E0
5.323197083E-1,-2.260299683E-2,6.436614990E-3,9.786349182E0
5.423667083E-1,-2.290237427E-2,-6.436614990E-3,9.778864746E0
5.524137083E-1,-3.891906738E-2,-5.987548828E-3,9.773625641E0
5.624617083E-1,-3.652404785E-2,7.933502197E-3,9.765542450E0
5.725087083E-1,-1.796264648E-2,1.092727661E-2,9.773925018E0
5.825557083E-1,-1.736389160E-2,1.197509766E-3,9.782008209E0
5.926027083E-1,-2.020797729E-2,4.490661621E-4,9.768386536E0
6.026507083E-1,-3.502716064E-2,5.987548828E-4,9.776320038E0
6.126977083E-1,-4.281097412E-2,1.092727661E-2,9.780810699E0
6.227447083E-1,-2.888992310E-2,1.466949463E-2,9.776469727E0
6.327917083E-1,-1.930984497E-2,1.212478638E-2,9.770931244E0
6.428397083E-1,-2.739303589E-2,-1.197509766E-3,9.774673462E0
6.528867083E-1,-2.829116821E-2,2.993774414E-3,9.772278442E0
6.629337083E-1,-3.248245239E-2,1.317260742E-2,9.774972839E0
6.729817083E-1,-2.574645996E-2,1.362167358E-2,9.779164124E0
6.830287083E-1,-2.110610962E-2,7.484436035E-4,9.773475952E0
6.930757083E-1,-1.960922241E-2,-9.580078125E-3,9.776020660E0
7.031227083E-1,-3.382965088E-2,-5.987548828E-4,9.785301361E0
7.131707083E-1,-3.891906738E-2,1.062789917E-2,9.769284668E0
7.232177083E-1,-2.574645996E-2,6.286926270E-3,9.777218170E0
7.332647083E-1,-3.487747192E-2,1.496887207E-3,9.776320038E0
7.433127083E-1,-2.874023438E-2,-7.484436035E-4,9.778415680E0
7.533597083E-1,-2.754272461E-2,2.095642090E-3,9.772577820E0
7.634067083E-1,-3.068618774E-2,1.601669312E-2,9.783954163E0
7.734537083E-1,-3.008743286E-2,1.287322998E-2,9.781259766E0
7.835017083E-1,-2.275268555E-2,5.239105225E-3,9.772577820E0
7.935487083E-1,-1.990859985E-2,-2.993774414E-4,9.780960388E0
8.035957083E-1,-3.053649902E-2,3.442840576E-3,9.788594513E0
8.136437083E-1,-3.547622681E-2,1.302291870E-2,9.772428131E0
8.236907083E-1,-3.353027344E-2,9.580078125E-3,9.781559143E0
8.337377083E-1,-2.709365845E-2,3.742218018E-3,9.773026886E0
8.437847083E-1,-2.829116821E-2,-2.844085693E-3,9.766440582E0
8.538327083E-1,-2.799179077E-2,4.340972900E-3,9.775272217E0
8.638797083E-1,-2.395019531E-2,8.382568359E-3,9.779463501E0
8.739267083E-1,-2.350112915E-2,1.092727661E-2,9.774374084E0
8.839737083E-1,-2.439926147E-2,6.735992432E-3,9.780810699E0
8.940217083E-1,-3.128494263E-2,7.035369873E-3,9.774673462E0
9.040687083E-1,-3.367996216E-2,1.227447510E-2,9.769134979E0
9.141157083E-1,-2.888992310E-2,7.185058594E-3,9.774823151E0
9.241637083E-1,-2.918930054E-2,1.197509766E-3,9.780361633E0
9.342107083E-1,-2.469863892E-2,1.796264648E-3,9.774523773E0
9.442577083E-1,-2.694396973E-2,7.484436035E-4,9.771679688E0
9.543047083E-1,-2.709365845E-2,9.280700684E-3,9.774074707E0
9.643527083E-1,-2.978805542E-2,7.185058594E-3,9.780810699E0
9.743997083E-1,-2.903961182E-2,8.232879639E-3,9.773475952E0
9.844467083E-1,-3.218307495E-2,9.729766846E-3,9.774972839E0
9.944947083E-1,-2.529739380E-2,2.095642090E-3,9.780361633E0
1.004541708E0,-2.350112915E-2,3.442840576E-3,9.773326263E0
1.014588708E0,-3.367996216E-2,1.077758789E-2,9.768985291E0
1.024635708E0,-2.784210205E-2,2.095642090E-3,9.789642334E0
1.034683708E0,-1.227447510E-2,-8.981323242E-4,9.773925018E0
1.044730708E0,-1.422042847E-2,-4.490661621E-4,9.770631866E0
1.054777708E0,-2.888992310E-2,1.347198486E-3,9.770781555E0
1.064825708E0,-3.517684937E-2,4.490661621E-4,9.778116302E0
1.074872708E0,-3.248245239E-2,8.831634521E-3,9.786199493E0
1.084919708E0,-2.395019531E-2,1.287322998E-2,9.779164124E0
1.094966708E0,-1.990859985E-2,8.681945801E-3,9.777816925E0
