"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.722331300E-2,3.197963953E0,2.257139683E0,9.488490105E0
1.973628100E-2,4.399296284E0,1.163004875E0,9.835834503E0
2.224925000E-2,3.526743174E0,2.056518316E0,9.835834503E0
2.476221900E-2,2.826065779E0,2.520043373E0,9.232173920E0
2.727513500E-2,2.144552231E0,2.624845505E0,8.666841507E0
2.978810400E-2,1.586405635E0,2.820676088E0,8.585993767E0
3.230107300E-2,1.243253350E0,3.040461063E0,8.638095856E0
3.481404200E-2,1.138451219E0,3.059624910E0,8.628513336E0
3.732701000E-2,1.171388984E0,2.873376608E0,8.733315468E0
3.983997900E-2,1.304936886E0,2.711082935E0,8.823744774E0
4.235289600E-2,1.486394405E0,2.496088743E0,8.932739258E0
4.486586500E-2,1.729535460E0,2.247557640E0,8.994422913E0
4.737883300E-2,1.891829133E0,2.114009857E0,9.075270653E0
4.989180200E-2,1.829546690E0,2.190066338E0,9.122581482E0
5.240477100E-2,1.848710537E0,2.114009857E0,9.203428268E0
5.491774000E-2,1.929557920E0,2.037354469E0,9.227383614E0
5.743065600E-2,2.011004210E0,2.013399601E0,9.232173920E0
5.994362500E-2,2.091851711E0,2.013399601E0,9.303440094E0
6.245659400E-2,2.139761209E0,2.032563448E0,9.498072624E0
6.496956300E-2,2.091851711E0,2.094846010E0,9.554965019E0
6.748253100E-2,2.029569149E0,2.123591661E0,9.622038841E0
6.999544800E-2,1.987049460E0,2.170902491E0,9.612456322E0
7.250841700E-2,1.934348941E0,2.175693274E0,9.612456322E0
7.502138500E-2,1.877456307E0,2.151738644E0,9.635812759E0
7.753435400E-2,1.896620154E0,2.214020967E0,9.711869240E0
8.004732300E-2,1.839128613E0,2.156529665E0,9.750196457E0
8.256029200E-2,1.829546690E0,2.128382683E0,9.716659546E0
8.507320800E-2,1.791219115E0,2.099637032E0,9.783134460E0
8.758617700E-2,1.767863154E0,2.080473185E0,9.821461678E0
9.009914600E-2,1.791219115E0,2.032563448E0,9.797507286E0
9.261211500E-2,1.786428094E0,2.037354469E0,9.773552895E0
9.512508300E-2,1.729535460E0,2.056518316E0,9.745405197E0
9.763805200E-2,1.700789809E0,2.046936512E0,9.664558411E0
1.001509690E-1,1.657671094E0,2.066100359E0,9.654975891E0
1.026639380E-1,1.619942307E0,2.032563448E0,9.612456322E0
1.051769060E-1,1.619942307E0,2.085263968E0,9.564546585E0
1.076898750E-1,1.414530039E0,2.237975836E0,9.598083496E0
1.102028440E-1,1.381592274E0,2.170902491E0,9.536399841E0
1.127158130E-1,1.448066831E0,2.075682163E0,9.536399841E0
1.152287290E-1,1.552868962E0,2.032563448E0,9.522027016E0
1.177416980E-1,1.634315252E0,1.965490103E0,9.545982361E0
1.202546670E-1,1.700789809E0,1.875060797E0,9.550772667E0
1.227676350E-1,1.715162635E0,1.855896950E0,9.545982361E0
1.252806040E-1,1.719953537E0,1.908597589E0,9.522027016E0
1.277935210E-1,1.686416864E0,1.941535354E0,9.450761795E0
1.303064900E-1,1.652880192E0,1.927162528E0,9.474716187E0
1.328194580E-1,1.576823711E0,2.013399601E0,9.407643318E0
1.353324270E-1,1.543287039E0,2.018190622E0,9.384286880E0
1.378453960E-1,1.476812482E0,1.994235873E0,9.441180229E0
1.403583650E-1,1.424111962E0,1.960699201E0,9.465134621E0
1.428712810E-1,1.443275809E0,2.018190622E0,9.479507446E0
1.453842500E-1,1.395965099E0,1.946326375E0,9.512445450E0
1.478972190E-1,1.381592274E0,1.908597589E0,9.502862930E0
1.504101880E-1,1.362428427E0,1.913388491E0,9.578919411E0
1.529231560E-1,1.290564060E0,1.917580605E0,9.574129105E0
1.554361250E-1,1.224089503E0,1.899015665E0,9.598083496E0
1.579490420E-1,1.200134754E0,1.851106048E0,9.683721542E0
1.604620100E-1,1.180970907E0,1.803196430E0,9.669348717E0
1.629749790E-1,1.204925656E0,1.721750259E0,9.645394325E0
1.654879480E-1,1.200134754E0,1.721750259E0,9.707077980E0
1.680009170E-1,1.180970907E0,1.688812375E0,9.702286720E0
1.705138850E-1,1.166598082E0,1.645693779E0,9.707077980E0
1.730268020E-1,1.100123525E0,1.631320834E0,9.759778023E0
1.755397710E-1,1.080959678E0,1.621739030E0,9.802298546E0
1.780527400E-1,1.052213907E0,1.679230452E0,9.764569283E0
1.805657080E-1,9.474117756E-1,1.669648528E0,9.783134460E0
1.830786770E-1,9.090840816E-1,1.578620315E0,9.754987717E0
1.855916460E-1,9.330388904E-1,1.588202238E0,9.735823631E0
1.881045630E-1,8.474005461E-1,1.616948009E0,9.716659546E0
1.906175310E-1,8.474005461E-1,1.573829412E0,9.821461678E0
1.931305000E-1,7.947000265E-1,1.559456587E0,9.844818115E0
1.956434690E-1,7.947000265E-1,1.583411336E0,9.811880112E0
1.981564380E-1,7.186435461E-1,1.511546969E0,9.849609375E0
2.006693540E-1,7.042707205E-1,1.473818183E0,9.883145332E0
2.031823230E-1,6.898978353E-1,1.516337872E0,9.930456161E0
2.056952920E-1,6.234232783E-1,1.525919795E0,9.949620247E0
2.082082600E-1,5.323951244E-1,1.454654336E0,9.983157158E0
2.107212290E-1,4.611296058E-1,1.406744719E0,1.004484081E1
2.132341980E-1,5.138301253E-1,1.449863434E0,1.006340504E1
2.157471150E-1,5.138301253E-1,1.416326642E0,1.008736038E1
2.182600830E-1,4.515477121E-1,1.349253297E0,1.004004955E1
2.207730520E-1,4.467567503E-1,1.349253297E0,1.007777786E1
2.232860210E-1,4.563386738E-1,1.344462276E0,1.004484081E1
2.257989900E-1,3.611183763E-1,1.282179832E0,1.008256912E1
2.283119580E-1,3.802822232E-1,1.310925603E0,1.002567673E1
2.308248750E-1,3.515364826E-1,1.282179832E0,1.002088547E1
2.333378440E-1,2.563162148E-1,1.291761756E0,1.005921364E1
2.358508130E-1,2.515252531E-1,1.301343679E0,1.006819630E1
2.383637810E-1,2.084066272E-1,1.315716624E0,1.006819630E1
2.408767500E-1,2.084066272E-1,1.239660144E0,9.996931076E0
2.433897190E-1,1.652880162E-1,1.234869242E0,1.001130390E1
2.459026350E-1,1.419321001E-1,1.220496297E0,1.002088547E1
2.484156040E-1,1.467230618E-1,1.306134701E0,1.003525829E1
2.509285730E-1,1.131863594E-1,1.286970854E0,9.992139816E0
