"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.973628100E-2,-2.877542973E-1,7.279744744E-1,2.556632459E-2
2.224925000E-2,-2.845585048E-1,7.151913047E-1,9.587371722E-3
2.476221900E-2,-2.898848355E-1,6.811028719E-1,-2.450106107E-2
2.727513500E-2,-3.069290519E-1,6.534060240E-1,-5.539370328E-2
2.978810400E-2,-3.303648531E-1,6.342312694E-1,-5.539370328E-2
3.230107300E-2,-3.474090695E-1,6.267744303E-1,-3.834948689E-2
3.481404200E-2,-3.612574935E-1,6.257091761E-1,-1.171789877E-2
3.732701000E-2,-3.761711717E-1,6.299701929E-1,2.024000697E-2
3.983997900E-2,-3.878890872E-1,6.321007609E-1,4.474106804E-2
4.235289600E-2,-4.091943502E-1,6.310355067E-1,6.604634225E-2
4.486586500E-2,-4.251733124E-1,6.278396845E-1,7.776423544E-2
4.737883300E-2,-4.443480372E-1,6.150565147E-1,8.415582031E-2
4.989180200E-2,-4.592617452E-1,6.086649299E-1,8.841687441E-2
5.240477100E-2,-4.624575377E-1,6.086649299E-1,1.033305600E-1
5.491774000E-2,-4.645880461E-1,6.225133538E-1,1.118526682E-1
5.743065600E-2,-4.613922536E-1,6.470144391E-1,1.065263525E-1
5.994362500E-2,-4.624575377E-1,6.715154648E-1,9.480845183E-2
6.245659400E-2,-4.645880461E-1,6.949512959E-1,7.669897377E-2
6.496956300E-2,-4.667185843E-1,7.077344656E-1,6.178528443E-2
6.748253100E-2,-4.645880461E-1,7.119954824E-1,5.326317623E-2
6.999544800E-2,-4.645880461E-1,7.162565589E-1,4.687159508E-2
7.250841700E-2,-4.635227919E-1,7.237133980E-1,4.261054099E-2
7.502138500E-2,-4.603269994E-1,7.354313135E-1,3.941474855E-2
7.753435400E-2,-4.581964612E-1,7.492797375E-1,3.515369445E-2
8.004732300E-2,-4.560659528E-1,7.620629072E-1,3.195790574E-2
8.256029200E-2,-4.507396221E-1,7.748460770E-1,3.089264221E-2
8.507320800E-2,-4.464785755E-1,7.876292467E-1,2.876211517E-2
8.758617700E-2,-4.422175288E-1,7.940207720E-1,2.556632459E-2
9.009914600E-2,-4.400869906E-1,7.993471026E-1,2.556632459E-2
9.261211500E-2,-4.411522448E-1,8.068039417E-1,2.663158812E-2
9.512508300E-2,-4.379564524E-1,8.142607808E-1,2.556632459E-2
9.763805200E-2,-4.368911982E-1,8.238481879E-1,2.024000697E-2
1.001509690E-1,-4.390217364E-1,8.334355354E-1,2.024000697E-2
1.026639380E-1,-4.411522448E-1,8.387618661E-1,2.237053402E-2
1.051769060E-1,-4.454133213E-1,8.494145274E-1,2.556632459E-2
1.076898750E-1,-4.496743679E-1,8.621976376E-1,3.195790574E-2
1.102028440E-1,-4.507396221E-1,8.696545362E-1,5.326317623E-2
1.127158130E-1,-4.528701603E-1,8.835029602E-1,7.243791968E-2
1.152287290E-1,-4.550006688E-1,8.994818926E-1,7.882949710E-2
1.177416980E-1,-4.581964612E-1,9.165260792E-1,7.563371211E-2
1.202546670E-1,-4.656533301E-1,9.229176641E-1,6.924212724E-2
1.227676350E-1,-4.763059616E-1,9.239829779E-1,6.285054982E-2
1.252806040E-1,-4.890891016E-1,9.197219014E-1,5.219791085E-2
1.277935210E-1,-5.018723011E-1,9.111998081E-1,3.728422523E-2
1.303064900E-1,-5.189164877E-1,9.026776552E-1,3.302317113E-2
1.328194580E-1,-5.316996574E-1,8.984166384E-1,2.982737869E-2
1.353324270E-1,-5.391564965E-1,8.952208161E-1,2.556632459E-2
1.378453960E-1,-5.476785898E-1,8.898945451E-1,2.130527049E-2
1.403583650E-1,-5.572659969E-1,8.856334686E-1,1.917474344E-2
1.428712810E-1,-5.679185987E-1,8.845682144E-1,1.491368935E-2
1.453842500E-1,-5.785712600E-1,8.813723922E-1,1.384842582E-2
1.478972190E-1,-5.892238617E-1,8.739155531E-1,1.171789877E-2
1.504101880E-1,-5.956154466E-1,8.685892224E-1,1.278316230E-2
1.529231560E-1,-5.988112688E-1,8.664587140E-1,1.917474344E-2
1.554361250E-1,-6.020070314E-1,8.558061123E-1,2.024000697E-2
1.579490420E-1,-6.041375995E-1,8.504797816E-1,2.769685164E-2
1.604620100E-1,-6.083986163E-1,8.483492136E-1,3.089264221E-2
1.629749790E-1,-6.073333621E-1,8.483492136E-1,2.982737869E-2
1.654879480E-1,-6.083986163E-1,8.483492136E-1,2.982737869E-2
