"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.433000200E-2,-1.197739318E-2,1.183366418E0,9.446569443E0
2.684323200E-2,1.197739318E-2,1.221694112E0,9.536399841E0
2.935646100E-2,2.395478543E-3,1.173784494E0,9.569936752E0
3.186969000E-2,1.137852296E-2,1.149829745E0,9.641201973E0
3.438291900E-2,1.796608907E-3,1.154620647E0,9.740614891E0
3.689614800E-2,1.616948098E-2,1.164801478E0,9.759179115E0
3.940937700E-2,-7.785305381E-3,1.136055708E0,9.759179115E0
4.192260700E-2,2.994348109E-2,1.136055708E0,9.768761635E0
4.443583600E-2,-3.593217814E-3,1.126473784E0,9.763970375E0
4.694906500E-2,-1.317513175E-2,1.059999228E0,9.772953987E0
4.946229400E-2,-2.754800394E-2,1.074372172E0,9.758581161E0
5.197552300E-2,2.455365472E-2,1.112699747E0,9.763371468E0
5.448875200E-2,3.413556889E-2,1.151027441E0,9.791518211E0
5.700198200E-2,4.311861470E-2,1.170191288E0,9.744207382E0
5.951521100E-2,2.395478636E-2,1.098326921E0,9.753789902E0
6.202844000E-2,-2.395478636E-2,1.112699747E0,9.762772560E0
6.454166900E-2,-9.581914172E-3,1.198937058E0,9.786727905E0
6.705489800E-2,3.293782845E-2,1.161208272E0,9.886139870E0
6.956807500E-2,5.689261481E-2,1.151626348E0,9.876558304E0
7.208130400E-2,1.856495813E-2,1.180372000E0,9.828648567E0
7.459453400E-2,2.814687230E-2,1.209117770E0,9.890332222E0
7.710776300E-2,6.587565690E-2,1.180372000E0,9.866376877E0
7.962099200E-2,8.024853468E-2,1.152225137E0,9.823857307E0
8.213422100E-2,6.527678668E-2,1.176180005E0,9.866376877E0
8.464745000E-2,4.611296207E-2,1.152225137E0,9.918478966E0
8.716067900E-2,7.964966446E-2,1.147434235E0,9.808885574E0
8.967390900E-2,1.077965349E-1,1.128270388E0,9.828049660E0
9.218713800E-2,7.425983250E-2,1.100123525E0,9.828049660E0
9.470036700E-2,9.821461886E-2,1.080959678E0,9.746603012E0
9.721359600E-2,1.503162831E-1,1.085750699E0,9.760975838E0
9.972682500E-2,1.215705350E-1,1.090541601E0,9.760975838E0
1.022400540E-1,1.640902758E-1,1.076168776E0,9.737021446E0
1.047532840E-1,1.353445351E-1,1.086349487E0,9.708275795E0
