"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.433000200E-2,-1.202416196E-1,-2.290316671E-2,2.463421971E-2
2.684323200E-2,-1.159805655E-1,-2.822948247E-2,2.463421971E-2
2.935646100E-2,-1.245026737E-1,-3.036000952E-2,2.463421971E-2
3.186969000E-2,-1.330247819E-1,-3.781685606E-2,2.250369266E-2
3.438291900E-2,-1.340900511E-1,-4.420843720E-2,1.930790208E-2
3.689614800E-2,-1.319595128E-1,-4.633896425E-2,1.824263856E-2
3.940937700E-2,-1.287637353E-1,-5.273054540E-2,1.398158353E-2
4.192260700E-2,-1.298289895E-1,-5.592633411E-2,1.398158353E-2
4.443583600E-2,-1.266331971E-1,-5.486107245E-2,1.291632000E-2
4.694906500E-2,-1.191763580E-1,-5.592633411E-2,8.655265905E-3
4.946229400E-2,-1.117195114E-1,-5.486107245E-2,7.590002380E-3
5.197552300E-2,-1.042626649E-1,-4.740422592E-2,1.185105648E-2
5.448875200E-2,-9.254477173E-2,-4.207791016E-2,1.185105648E-2
5.700198200E-2,-8.295739442E-2,-3.781685606E-2,1.078579295E-2
5.951521100E-2,-7.017423213E-2,-2.929474786E-2,1.185105648E-2
6.202844000E-2,-5.632580817E-2,-2.183790132E-2,1.504684705E-2
6.454166900E-2,-4.993422702E-2,-1.544632111E-2,1.504684705E-2
6.705489800E-2,-3.821633011E-2,-7.989476435E-3,1.611211151E-2
6.956807500E-2,-2.649842948E-2,-1.464737346E-3,1.504684705E-2
7.208130400E-2,-2.223737538E-2,1.731053228E-3,1.717737503E-2
7.459453400E-2,-1.371526811E-2,4.926843569E-3,1.717737503E-2
7.710776300E-2,-3.062632633E-3,8.122634143E-3,1.717737503E-2
7.962099200E-2,6.524738856E-3,1.344895177E-2,1.717737503E-2
8.213422100E-2,9.720529430E-3,1.131842472E-2,1.717737503E-2
8.464745000E-2,1.611211151E-2,9.187897667E-3,1.930790208E-2
8.716067900E-2,2.356895618E-2,1.131842472E-2,2.037316561E-2
8.967390900E-2,2.356895618E-2,8.122634143E-3,1.717737503E-2
9.218713800E-2,2.143842913E-2,8.122634143E-3,1.717737503E-2
9.470036700E-2,2.250369266E-2,7.057370618E-3,1.824263856E-2
9.721359600E-2,2.143842913E-2,7.057370618E-3,1.504684705E-2
9.972682500E-2,2.250369266E-2,7.057370618E-3,1.504684705E-2
1.022400540E-1,2.143842913E-2,8.122634143E-3,1.291632000E-2
1.047532840E-1,1.611211151E-2,8.122634143E-3,8.655265905E-3
1.072665130E-1,1.398158353E-2,3.861580277E-3,9.720529430E-3
1.097797420E-1,8.655265905E-3,1.731053228E-3,4.394211806E-3
1.122929710E-1,7.590002380E-3,6.657897029E-4,2.263684990E-3
1.148062000E-1,2.263684990E-3,-5.725791678E-3,1.198421465E-3
1.173194290E-1,-3.062632633E-3,-3.595264396E-3,1.331579406E-4
1.198326590E-1,-1.158474106E-2,-3.595264396E-3,-3.062632633E-3
1.223458880E-1,-1.478053164E-2,-3.994738217E-4,-1.997369109E-3
1.248591170E-1,-1.904158480E-2,-3.595264396E-3,-5.193159916E-3
1.273723460E-1,-2.330263890E-2,-7.856318727E-3,-6.258423440E-3
1.298855750E-1,-2.969422005E-2,-8.921582252E-3,-6.258423440E-3
1.323988040E-1,-3.182474896E-2,-8.921582252E-3,-9.454214014E-3
1.349120340E-1,-3.075948358E-2,-1.105210930E-2,-1.051947754E-2
1.374252630E-1,-3.182474896E-2,-1.850895397E-2,-6.258423440E-3
1.399384920E-1,-3.289001063E-2,-1.957421750E-2,-4.127896391E-3
1.424517210E-1,-3.289001063E-2,-2.596579865E-2,-4.127896391E-3
1.449649500E-1,-3.289001063E-2,-3.022685274E-2,-3.062632633E-3
1.474781790E-1,-2.756369300E-2,-2.916158922E-2,-1.997369109E-3
1.499914090E-1,-2.330263890E-2,-3.235737979E-2,1.198421465E-3
1.525046380E-1,-2.117211185E-2,-3.555316851E-2,1.331579406E-4
1.550178670E-1,-1.797632128E-2,-3.022685274E-2,-9.321055841E-4
1.575310440E-1,-1.584579423E-2,-3.129211441E-2,6.524738856E-3
1.600442730E-1,-1.265000459E-2,-2.703106217E-2,8.655265905E-3
1.625575020E-1,-7.323686965E-3,-2.383527160E-2,9.720529430E-3
1.650707320E-1,-6.258423440E-3,-1.850895397E-2,1.185105648E-2
1.675839610E-1,-1.997369109E-3,-1.637842692E-2,9.720529430E-3
1.700971900E-1,-9.321055841E-4,-1.318263635E-2,1.291632000E-2
1.726104190E-1,-9.321055841E-4,-8.921582252E-3,1.185105648E-2
1.751236480E-1,-9.321055841E-4,-5.725791678E-3,1.504684705E-2
1.776368770E-1,1.331579406E-4,-6.791055202E-3,9.720529430E-3
1.801501070E-1,2.263684990E-3,-8.921582252E-3,6.524738856E-3
